# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.70121676E+00  -8.02533600E+00  -3.24119239E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.52112143E-01   6.04070928E-01   1.51958785E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.23930711E-01  -6.40448781E-01   2.83481930E-01
      2  -1.76928763E+00  -1.20023541E+00   5.69052223E-01
      3  -2.83971718E+00  -1.79612727E+00   1.04358991E+00
      4  -4.84895926E+00  -2.37537855E+00   2.47358071E+00
      5  -5.23411523E+00  -4.03414898E+00   1.19996625E+00
      6  -5.53463698E+00  -4.66297576E+00   8.71661224E-01
      7  -5.79487009E+00  -5.15343979E+00   6.41430300E-01
      8  -5.99348860E+00  -5.56014061E+00   4.33347995E-01
      9  -6.16613320E+00  -5.80923273E+00   3.56900470E-01
     10  -6.31292889E+00  -6.03681240E+00   2.76116491E-01
     11  -6.41506481E+00  -6.21626180E+00   1.98803005E-01
     12  -6.51014385E+00  -6.37618526E+00   1.33958586E-01
     13  -6.59445556E+00  -6.51226472E+00   8.21908396E-02
     14  -6.67465807E+00  -6.62531578E+00   4.93422892E-02
     15  -6.73562902E+00  -6.71559582E+00   2.00331981E-02
     16  -6.79047388E+00  -6.79717103E+00  -6.69714948E-03
     17  -6.84343441E+00  -6.87075512E+00  -2.73207110E-02
     18  -6.89778991E+00  -6.94161807E+00  -4.38281594E-02
     19  -6.94316106E+00  -7.00385365E+00  -6.06925886E-02
     20  -6.97766318E+00  -7.05462848E+00  -7.69652981E-02
     21  -7.01283821E+00  -7.10061235E+00  -8.77741396E-02
     22  -7.04587874E+00  -7.14453636E+00  -9.86576206E-02
     23  -7.07553974E+00  -7.18549993E+00  -1.09960192E-01
     24  -7.10250818E+00  -7.22308148E+00  -1.20573301E-01
     25  -7.12628344E+00  -7.25472192E+00  -1.28438483E-01
     26  -7.14604316E+00  -7.28315816E+00  -1.37115000E-01
     27  -7.16876790E+00  -7.31223678E+00  -1.43468884E-01
     28  -7.18664862E+00  -7.33678588E+00  -1.50137257E-01
     29  -7.20233440E+00  -7.35877497E+00  -1.56440580E-01
     30  -7.21854101E+00  -7.38023191E+00  -1.61690904E-01
     31  -7.23482081E+00  -7.40138704E+00  -1.66566224E-01
     32  -7.24910462E+00  -7.42126507E+00  -1.72160454E-01
