
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
   349    -2     0    -5    -2.046    -1.181    -3.197    15.803099238
   350    -2     0    -4    -2.046    -1.181    -2.558    12.123522837
   351    -2     0    -3    -2.046    -1.181    -1.918     9.261630081
   352    -2     0    -2    -2.046    -1.181    -1.279     7.217420970
   353    -2     0    -1    -2.046    -1.181    -0.639     5.990895503
   354    -2     0     0    -2.046    -1.181     0.000     5.582053681
   355    -2     0     1    -2.046    -1.181     0.639     5.990895503
   356    -2     0     2    -2.046    -1.181     1.279     7.217420970
   357    -2     0     3    -2.046    -1.181     1.918     9.261630081
   358    -2     0     4    -2.046    -1.181     2.558    12.123522837
   359    -2     0     5    -2.046    -1.181     3.197    15.803099238
   360    -2     0     6    -2.046    -1.181     3.836    20.300359283
   361    -2     0     7    -2.046    -1.181     4.476    25.615302973
   362    -2     0     8    -2.046    -1.181     5.115    31.747930308
   363    -2     0     9    -2.046    -1.181     5.755    38.698241287
   364    -2     1    -9    -2.046     0.000    -5.755    37.302727867
   365    -2     1    -8    -2.046     0.000    -5.115    30.352416888
   366    -2     1    -7    -2.046     0.000    -4.476    24.219789553
   367    -2     1    -6    -2.046     0.000    -3.836    18.904845863
   368    -2     1    -5    -2.046     0.000    -3.197    14.407585818
   369    -2     1    -4    -2.046     0.000    -2.558    10.728009417
   370    -2     1    -3    -2.046     0.000    -1.918     7.866116661
   371    -2     1    -2    -2.046     0.000    -1.279     5.821907550
   372    -2     1    -1    -2.046     0.000    -0.639     4.595382083
   373    -2     1     0    -2.046     0.000     0.000     4.186540260
   374    -2     1     1    -2.046     0.000     0.639     4.595382083
   375    -2     1     2    -2.046     0.000     1.279     5.821907550
   376    -2     1     3    -2.046     0.000     1.918     7.866116661
   377    -2     1     4    -2.046     0.000     2.558    10.728009417
   378    -2     1     5    -2.046     0.000     3.197    14.407585818
   379    -2     1     6    -2.046     0.000     3.836    18.904845863
   380    -2     1     7    -2.046     0.000     4.476    24.219789553
   381    -2     1     8    -2.046     0.000     5.115    30.352416888
   382    -2     1     9    -2.046     0.000     5.755    37.302727867
   383    -2     2    -9    -2.046     1.181    -5.755    38.698241288
   384    -2     2    -8    -2.046     1.181    -5.115    31.747930309
   385    -2     2    -7    -2.046     1.181    -4.476    25.615302974
   386    -2     2    -6    -2.046     1.181    -3.836    20.300359284
   387    -2     2    -5    -2.046     1.181    -3.197    15.803099239
   388    -2     2    -4    -2.046     1.181    -2.558    12.123522838
   389    -2     2    -3    -2.046     1.181    -1.918     9.261630082
   390    -2     2    -2    -2.046     1.181    -1.279     7.217420971
   391    -2     2    -1    -2.046     1.181    -0.639     5.990895504
   392    -2     2     0    -2.046     1.181     0.000     5.582053681
   393    -2     2     1    -2.046     1.181     0.639     5.990895504
   394    -2     2     2    -2.046     1.181     1.279     7.217420971
   395    -2     2     3    -2.046     1.181     1.918     9.261630082
   396    -2     2     4    -2.046     1.181     2.558    12.123522838
